,T,E,Trade_random,Trade_search,Trade_market
198,144.0,1.0,0,0,0
199,152.0,1.0,0,0,0
0,209.0,1.0,0,0,0
1,175.0,1.0,0,0,0
2,220.0,1.0,0,0,0
3,191.0,1.0,0,0,0
4,149.0,1.0,0,0,0
5,145.0,1.0,0,0,0
6,156.0,1.0,0,0,0
7,222.0,1.0,0,0,0
8,137.0,1.0,0,0,0
9,120.0,1.0,0,0,0
10,169.0,1.0,0,0,0
11,215.0,1.0,0,0,0
12,143.0,1.0,0,0,0
13,139.0,1.0,0,0,0
14,168.0,1.0,0,0,0
15,166.0,1.0,0,0,0
16,167.0,1.0,0,0,0
17,211.0,1.0,0,0,0
18,212.0,1.0,0,0,0
19,151.0,1.0,0,0,0
20,151.0,1.0,0,0,0
21,185.0,1.0,0,0,0
22,133.0,1.0,0,0,0
23,139.0,1.0,0,0,0
24,117.0,1.0,0,0,0
25,183.0,1.0,0,0,0
26,129.0,1.0,0,0,0
27,180.0,1.0,0,0,0
28,143.0,1.0,0,0,0
29,224.0,1.0,0,0,0
30,126.0,1.0,0,0,0
31,223.0,1.0,0,0,0
32,200.0,1.0,0,0,0
33,117.0,1.0,0,0,0
34,222.0,1.0,0,0,0
35,203.0,1.0,0,0,0
36,118.0,1.0,0,0,0
37,122.0,1.0,0,0,0
38,190.0,1.0,0,0,0
39,178.0,1.0,0,0,0
40,122.0,1.0,0,0,0
41,149.0,1.0,0,0,0
42,181.0,1.0,0,0,0
43,226.0,1.0,0,0,0
44,127.0,1.0,0,0,0
45,194.0,1.0,0,0,0
46,195.0,1.0,0,0,0
47,210.0,1.0,0,0,0
48,229.0,1.0,0,0,0
49,138.0,1.0,0,0,0
50,157.0,1.0,0,0,0
51,132.0,1.0,0,0,0
52,176.0,1.0,0,0,0
53,162.0,1.0,0,0,0
54,203.0,1.0,0,0,0
55,178.0,1.0,0,0,0
56,188.0,1.0,0,0,0
57,169.0,1.0,0,0,0
58,200.0,1.0,0,0,0
59,207.0,1.0,0,0,0
60,123.0,1.0,0,0,0
61,165.0,1.0,0,0,0
62,194.0,1.0,0,0,0
63,180.0,1.0,0,0,0
64,172.0,1.0,0,0,0
65,126.0,1.0,0,0,0
66,222.0,1.0,0,0,0
67,209.0,1.0,0,0,0
68,227.0,1.0,0,0,0
69,115.0,1.0,0,0,0
70,207.0,1.0,0,0,0
71,191.0,1.0,0,0,0
72,197.0,1.0,0,0,0
73,221.0,1.0,0,0,0
74,193.0,1.0,0,0,0
75,146.0,1.0,0,0,0
76,166.0,1.0,0,0,0
77,151.0,1.0,0,0,0
78,183.0,1.0,0,0,0
79,154.0,1.0,0,0,0
80,163.0,1.0,0,0,0
81,130.0,1.0,0,0,0
82,196.0,1.0,0,0,0
83,117.0,1.0,0,0,0
84,115.0,1.0,0,0,0
85,156.0,1.0,0,0,0
86,143.0,1.0,0,0,0
87,117.0,1.0,0,0,0
88,139.0,1.0,0,0,0
89,132.0,1.0,0,0,0
90,168.0,1.0,0,0,0
91,171.0,1.0,0,0,0
92,146.0,1.0,0,0,0
93,142.0,1.0,0,0,0
94,228.0,1.0,0,0,0
95,163.0,1.0,0,0,0
96,140.0,1.0,0,0,0
97,173.0,1.0,0,0,0
98,145.0,1.0,0,0,0
99,128.0,1.0,0,0,0
100,146.0,1.0,0,0,0
101,190.0,1.0,0,0,0
102,127.0,1.0,0,0,0
103,204.0,1.0,0,0,0
104,163.0,1.0,0,0,0
105,162.0,1.0,0,0,0
106,185.0,1.0,0,0,0
107,226.0,1.0,0,0,0
108,168.0,1.0,0,0,0
109,204.0,1.0,0,0,0
110,115.0,1.0,0,0,0
111,133.0,1.0,0,0,0
112,134.0,1.0,0,0,0
113,169.0,1.0,0,0,0
114,130.0,1.0,0,0,0
115,179.0,1.0,0,0,0
116,157.0,1.0,0,0,0
117,189.0,1.0,0,0,0
118,164.0,1.0,0,0,0
119,126.0,1.0,0,0,0
120,190.0,1.0,0,0,0
121,132.0,1.0,0,0,0
122,142.0,1.0,0,0,0
123,176.0,1.0,0,0,0
124,172.0,1.0,0,0,0
125,175.0,1.0,0,0,0
126,119.0,1.0,0,0,0
127,206.0,1.0,0,0,0
128,172.0,1.0,0,0,0
129,120.0,1.0,0,0,0
130,131.0,1.0,0,0,0
131,143.0,1.0,0,0,0
132,177.0,1.0,0,0,0
133,213.0,1.0,0,0,0
134,199.0,1.0,0,0,0
135,137.0,1.0,0,0,0
136,151.0,1.0,0,0,0
137,135.0,1.0,0,0,0
138,227.0,1.0,0,0,0
139,226.0,1.0,0,0,0
140,141.0,1.0,0,0,0
141,169.0,1.0,0,0,0
142,115.0,1.0,0,0,0
143,227.0,1.0,0,0,0
144,178.0,1.0,0,0,0
145,183.0,1.0,0,0,0
146,204.0,1.0,0,0,0
147,214.0,1.0,0,0,0
148,177.0,1.0,0,0,0
149,147.0,1.0,0,0,0
150,139.0,1.0,0,0,0
151,178.0,1.0,0,0,0
152,140.0,1.0,0,0,0
153,167.0,1.0,0,0,0
154,178.0,1.0,0,0,0
155,135.0,1.0,0,0,0
156,135.0,1.0,0,0,0
157,177.0,1.0,0,0,0
158,163.0,1.0,0,0,0
159,136.0,1.0,0,0,0
160,185.0,1.0,0,0,0
161,169.0,1.0,0,0,0
162,181.0,1.0,0,0,0
163,229.0,1.0,0,0,0
164,197.0,1.0,0,0,0
165,205.0,1.0,0,0,0
166,191.0,1.0,0,0,0
167,169.0,1.0,0,0,0
168,215.0,1.0,0,0,0
169,221.0,1.0,0,0,0
170,207.0,1.0,0,0,0
171,121.0,1.0,0,0,0
172,225.0,1.0,0,0,0
173,181.0,1.0,0,0,0
174,159.0,1.0,0,0,0
175,194.0,1.0,0,0,0
176,182.0,1.0,0,0,0
177,170.0,1.0,0,0,0
178,147.0,1.0,0,0,0
179,228.0,1.0,0,0,0
180,147.0,1.0,0,0,0
181,122.0,1.0,0,0,0
182,122.0,1.0,0,0,0
183,224.0,1.0,0,0,0
184,219.0,1.0,0,0,0
185,223.0,1.0,0,0,0
186,118.0,1.0,0,0,0
187,174.0,1.0,0,0,0
188,172.0,1.0,0,0,0
189,156.0,1.0,0,0,0
190,219.0,1.0,0,0,0
191,168.0,1.0,0,0,0
192,194.0,1.0,0,0,0
193,134.0,1.0,0,0,0
194,195.0,1.0,0,0,0
195,228.0,1.0,0,0,0
196,169.0,1.0,0,0,0
197,204.0,1.0,0,0,0
198,145.0,1.0,0,0,0
199,129.0,1.0,0,0,0
0,121.0,1.0,0,0,0
1,199.0,1.0,0,0,0
2,168.0,1.0,0,0,0
3,134.0,1.0,0,0,0
4,174.0,1.0,0,0,0
5,204.0,1.0,0,0,0
6,123.0,1.0,0,0,0
7,170.0,1.0,0,0,0
8,119.0,1.0,0,0,0
9,124.0,1.0,0,0,0
10,186.0,1.0,0,0,0
11,212.0,1.0,0,0,0
12,141.0,1.0,0,0,0
13,142.0,1.0,0,0,0
14,143.0,1.0,0,0,0
15,168.0,1.0,0,0,0
16,117.0,1.0,0,0,0
17,118.0,1.0,0,0,0
18,177.0,1.0,0,0,0
19,225.0,1.0,0,0,0
20,150.0,1.0,0,0,0
21,228.0,1.0,0,0,0
22,122.0,1.0,0,0,0
23,135.0,1.0,0,0,0
24,227.0,1.0,0,0,0
25,142.0,1.0,0,0,0
26,198.0,1.0,0,0,0
27,144.0,1.0,0,0,0
28,183.0,1.0,0,0,0
29,210.0,1.0,0,0,0
30,120.0,1.0,0,0,0
31,228.0,1.0,0,0,0
32,174.0,1.0,0,0,0
33,166.0,1.0,0,0,0
34,194.0,1.0,0,0,0
35,201.0,1.0,0,0,0
