covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Trade_random,-0.27724572260541247,0.7578682488680726,0.08412434059119035,-0.44212640038732653,-0.11236504482349843,0.6426683967870634,0.8937179508340816,0.0,-3.295665923287441,0.0009818870187378649,9.99215534979963
Trade_search,-0.8133170028058838,0.44338491534255736,0.0861107369867828,-0.9820909459821793,-0.6445430596295884,0.3745271634860575,0.5249023363845949,0.0,-9.445012680947329,3.5536128790689425e-21,67.93120346598579
Trade_market,-0.6648410512549269,0.5143552773353136,0.08455372616295127,-0.8305633092929735,-0.49911879321688024,0.4358037248763717,0.6070653742065603,0.0,-7.862942077486336,3.752145442903813e-15,47.92120567176598
